100000000, 14536.333346894333
124465648.12824391, 20270.254702224644
159213613.0764049, 29465.51793779897
203662415.85569626, 44649.79760377278
253489745.88843173, 59727.355353215535
306993169.6414877, 83287.07637670016
403590183.2071697, 126206.88056730642
450262052.2961249, 142966.622396909
608356868.6858057, 225834.66916213068
757195319.5424746, 328280.8032226329
995450804.6372502, 477199.9187030425
1500505610.9826732, 890140.3412546979
2027359157.379191, 1465767.1421094546
3055965977.377588, 2734154.833100802
4361179483.994329, 4502249.959989401
7136172615.077, 9917218.724097144
9909223044.52953, 16330383.73073233
14533701547.498432, 29221598.62079608
18591178928.07787, 42477489.84810404
25118864315.09572, 69946396.10522227
33022646929.651844, 105991431.60504664
43413396265.096405, 160611328.09169105
61955406088.75728, 275697744.41469675
83709023787.60812, 453983126.2418046
107078670498.63977, 717126329.2167165
140771536691.17242, 1180870208.2031188
175212205522.75644, 1865340513.2045245
212193791684.8947, 2826594684.4211855
278961682963.6368, 5057910254.514734
250045936940.36047, 3781092730.9034295
