100000000, 14536.333346894333
124465648.12824391, 20270.254702224644
159213613.0764049, 29465.51793779897
203662415.85569626, 44649.79760377278
253489745.88843173, 59727.355353215535
306993169.6414877, 83287.07637670016
403590183.2071697, 126206.88056730642
450262052.2961249, 142966.622396909
608356868.6858057, 225834.66916213068
757195319.5424746, 328280.8032226329
995450804.6372502, 477199.9187030425
1500505610.9826732, 890140.3412546979
2027359157.379191, 1465767.1421094546
3055965977.377588, 2734154.833100802
4361179483.994329, 4502249.959989401
7136172615.077, 9917218.724097144
