102773509.75825644, 34794.952302021615
124465648.12824391, 48519.9760271337
159213613.0764049, 69079.65827239177
203662415.85569626, 102525.12912000818
253489745.88843173, 142966.622396909
306993169.6414877, 191244.27696907736
403590183.2071697, 289796.98499021254
450262052.2961249, 335174.3363339037
608356868.6858057, 518562.9019215387
757195319.5424746, 723112.3454746665
995450804.6372502, 1095749.2733842274
1500505610.9826732, 2043945.511958036
2027359157.379191, 3228681.9870233205
3055965977.377588, 6022591.314648334
4361179483.994329, 9917218.724097144
7136172615.077, 20102454.94751208
9909223044.52953, 31754483.573196523
14533701547.498432, 52289146.41778712
18591178928.07787, 72914832.83691438
25118864315.09572, 105991431.60504664
33022646929.651844, 150903864.2348792
43413396265.096405, 214847331.48877183
61955406088.75728, 353782594.1269547
83709023787.60812, 582563083.4690595
107078670498.63977, 882771645.9365312
140771536691.17242, 1453633334.6894243
175212205522.75644, 2393653989.054636
212193791684.8947, 3479495230.2021475
278961682963.6368, 6490443418.398022
250045936940.36047, 4851997602.71335
